solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max,err_rms,err_linf,cross_err_max
penta,exp,1,128,128,2048,16384,2048,2048,0,10,host,  1.9734771000000002E-02,  1.9734771000000002E-02,  1.9733437000000000E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.9733437000000000E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,0,10,host,  7.0566007000000000E-02,  7.0566007000000000E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,1,10,host,  1.7523846299999946E-01,  1.7523846299999946E-01,  1.7523694399999989E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.7523694399999989E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,1,10,host,  7.9294817999999267E-02,  7.9294817999999267E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,2,10,host,  2.6607129000000285E-02,  2.6607129000000285E-02,  2.6605452000000085E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.6605452000000085E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,2,10,host,  8.7881601999999504E-02,  8.7881601999999504E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,3,10,host,  2.6359402000000642E-02,  2.6359402000000642E-02,  2.6357925999999310E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.6357925999999310E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,3,10,host,  8.6604384999999340E-02,  8.6604384999999340E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,4,10,host,  2.6819872000000800E-02,  2.6819872000000800E-02,  2.6818711000000661E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.6818711000000661E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,4,10,host,  7.8407548999999577E-02,  7.8407548999999577E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
